disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
3601,,,,,,,,,,,3de68baba960e69da445cf822d3dd859081fb34a,2023-10-09T23:02:26.341Z,faafecca-0f76-4fb8-8ffd-b6f46f3b712c
3602,,,,,,,,,,,58566c446fce5cabbd0c3412a6bb3daa4ada1993,2023-10-09T23:02:26.341Z,b74f0dc2-fab5-42b9-acf7-c94df14d85ad
1239,,,,,8225378.98,4219882.47,3961713.95,2024-11-09T00:00:00.000Z,,3887494,bd13952da4218eb4fc6f3d36d0772c2182f220cc,2024-11-09T04:05:02.739Z,992c70d6-144e-41c8-a18c-c286d2030735
1257,,,,,33279674.22,9756691.41,23183628.92,2024-11-09T00:00:00.000Z,,18906913,d59fc2e66e3c6887cea79388e540c27f28c9cbdb,2024-11-09T04:05:02.739Z,6192e8ae-fc80-4ea0-9677-1bdb1d5bb572
1260,,,,,9863594,3896685.75,5833055.72,2024-11-09T00:00:00.000Z,,1875688,badc37353aee85204a0071dfbba2ae63c5b4964b,2024-11-09T04:05:02.739Z,f823f640-cfbf-451a-9874-35e6eb2bd80c
1261,,,,,5735788.21,2349946.79,3385841.42,2024-11-09T00:00:00.000Z,,1096729,9f141465a1a184bb15dd56789ddd905b54b6fafa,2024-11-09T04:05:02.739Z,d100240e-3521-47b9-ba59-ae22a6fbe073
1262,,,,,15377362.84,4437805.23,10793815.08,2024-11-09T00:00:00.000Z,,1494499,8b16a9ec8175dfba150580256e46a519010daf8a,2024-11-09T04:05:02.739Z,982d7e77-400d-4dda-9945-8fd9a7e64c4a
1264,,,,,3033110.28,882780.99,2135164.26,2024-11-09T00:00:00.000Z,,915473,0b95d08314483144ec08f3469ac1e6eeba624e02,2024-11-09T04:05:02.739Z,7c005ed9-3873-417c-adcf-63a12b55ed16
1265,,,,,6970269.48,2590192.47,4349918.09,2024-11-09T00:00:00.000Z,,1319820,3f05d7434be6b3d13b1ca8392eff7943528a11e0,2024-11-09T04:05:02.739Z,cc3ade69-3750-4ea7-a5e6-c988979ca7e2
1266,,,,,7265330.4,4572203.46,2603875.52,2024-11-09T00:00:00.000Z,,3634575,33b3aae5b480b5d5ebe1d6f096dc0a583ad99887,2024-11-09T04:05:02.739Z,180c02af-1ee7-4c53-9145-171646ce782b
1268,,,,,721979.29,43929.52,655398.71,2024-11-09T00:00:00.000Z,,120352,2659185ed8aef65775be2c2341dae5de707fcd55,2024-11-09T04:05:02.739Z,445e5e03-1d81-47d5-a0b6-e57107019bec
1269,,,,,1737569.4,898066.5,810242.78,2024-11-09T00:00:00.000Z,,1037030,5ef76506bc97d611934f451a4e4dee5f4be8a7a9,2024-11-09T04:05:02.739Z,79ab4016-04e1-43e3-901e-4809e55618c3
1271,,,,,1868757.98,1691960.54,176797.44,2024-11-09T00:00:00.000Z,,495343,56daab47075bb7e67fae3161e0db45ec2382fe8f,2024-11-09T04:05:02.739Z,61e570f7-4ad1-4938-a8af-73a945e42243
1272,,,,,40588743.22,29892462.64,10342694.45,2024-11-09T00:00:00.000Z,,12665798,12a2f9f98a34f67e593064fd2504f7140aaaa7d3,2024-11-09T04:05:02.739Z,2b87d393-a870-420f-8321-d745337cb18e
1273,,,,,3144097.57,2597610.34,546487.23,2024-11-09T00:00:00.000Z,,1764725,7d84ad69ce884f3598834509e52225d9e1998ed0,2024-11-09T04:05:02.739Z,abd02105-5179-4401-9933-f04e16d49363
1274,,,,,1525086.7,1060865.15,587622.94,2024-11-09T00:00:00.000Z,,778869,6b7932c3a70631b86a902bb693172d4516cfffe7,2024-11-09T04:05:02.739Z,4dda1c18-86d2-46a1-ac70-e905ef10dfd7
1275,,,,,5322523.58,2426827.39,2821849.55,2024-11-09T00:00:00.000Z,,853245,b341c1a9aa70766bb32419ee1f743fca47f09322,2024-11-09T04:05:02.739Z,325046b3-0a33-4eaf-854b-9b28631c495e
1276,,,,,5242416.68,546984.2,4587872.59,2024-11-09T00:00:00.000Z,,1158596,95cc8a8891eee6038a2fd8ed4713a7b6bbdc5c10,2024-11-09T04:05:02.739Z,4f31c9c3-d061-49e5-89ca-f187f8550f26
1277,,,,,8534710.43,1862546.18,6422742.96,2024-11-09T00:00:00.000Z,,2449736,bf009ccbd081474b1f2915960ea35eefe546199b,2024-11-09T04:05:02.739Z,c02463a7-2f6f-4217-95ea-24f4e1bef2e5
1278,,,,,501235.42,20563.57,469397.28,2024-11-09T00:00:00.000Z,,113954,96df4d862e2d79580629a73b1204e8128db2e9b2,2024-11-09T04:05:02.739Z,aa276204-333e-472d-9fd0-97510c29c612
1279,,,,,48334834.63,3905669.96,43752362,2024-11-09T00:00:00.000Z,,11742244,b1067cc2be914edfdd551e885ffe8c53c42f5eb0,2024-11-09T04:05:02.739Z,440d01b7-e5bb-4e99-b5ea-beb6a3fabe68
1280,,,,,801099.77,621063.41,162372.31,2024-11-09T00:00:00.000Z,,1152684,60ea28b38d63385c44dba6dbb0f25cc18109218d,2024-11-09T04:05:02.739Z,9969eeda-6fba-4c3b-9602-2ff5fcaa05bc
1281,,,,,4736115,429615.84,4190877.14,2024-11-09T00:00:00.000Z,,704930,422107b96e02ecf1ca97967a64f1bc5a0a37f0d4,2024-11-09T04:05:02.739Z,e4c77a7c-7886-4700-9f1e-133a1bc042d4
1282,,,,,10955690.74,1814403.47,8883933.06,2024-11-09T00:00:00.000Z,,2636499,3fd85c6239113249c87c8d58cb5c1bcd65b3d886,2024-11-09T04:05:02.739Z,d0dbc608-6aeb-41be-8b36-4123a168c70f
1283,,,,,11679939.6,3332720.86,8260184.09,2024-11-09T00:00:00.000Z,,2769144,3ef68321a7230bfd88b477cd371fe27fd12e0a93,2024-11-09T04:05:02.739Z,c8e7c6d3-30b3-4ac1-962c-eab0d88cb338
1284,,,,,4064691.72,950005.26,3086906.66,2024-11-09T00:00:00.000Z,,641581,1e4b3f5e050f30604800cb7a72112ab0a5c64ea7,2024-11-09T04:05:02.739Z,13e761b7-3876-4191-a302-d926d78c8e6e
1285,,,,,518798.92,331705.11,182722.6,2024-11-09T00:00:00.000Z,,86350,599d9bdd2e25c756022c9f544c33e0ff56d27d4a,2024-11-09T04:05:02.739Z,fad79e7e-9b10-4dba-b9a8-41034e4949d1
1286,,,,,2083481.55,147935.45,1935546.1,2024-11-09T00:00:00.000Z,,621569,537e95b9ba4b252843bf3b0988cbc3bf30ceb2ed,2024-11-09T04:05:02.739Z,eaa13def-c1f0-4891-aed9-559c894f7433
1267,,,,,,,,,,2167204,1ba476aa5b95b344e79f9ed5c0b1442849ccb5e0,2023-03-18T13:22:12.883Z,0f5ed8dd-d8e5-4328-9155-372206b47182
1287,,,,,3704291.45,2689766.86,906909.42,2024-11-09T00:00:00.000Z,,3182052,30b69b2d9769f60b954b4a97fbc17af5796a321c,2024-11-09T04:05:02.739Z,e50ec25d-1565-4754-911e-8c2881dfb151
1288,,,,,7734889.99,727111.27,6928401.83,2024-11-09T00:00:00.000Z,,1359545,8796060fed1de04ac5fc1235261d3a68689b8e5e,2024-11-09T04:05:02.739Z,2761e58d-75da-4e8f-905c-b344a5b1e880
1270,,,,,,,,,,319783,bb3c5cb8faf9c3e5606bd3f86ff09da517907068,2023-03-18T13:22:12.883Z,df214994-59d2-4075-b52c-894f7f4b358e
1289,,,,,785818.09,84066.71,685083.81,2024-11-09T00:00:00.000Z,,305977,78b788454c4fbe58108c58ec5ea0d680d1b3b1de,2024-11-09T04:05:02.739Z,adb25595-73e9-41ff-9e54-200218e9a9ea
1292,,,,,298105794.06,143602692.89,150485207.39,2024-11-09T00:00:00.000Z,,67665966,3b4676026d3e184343c029e3b9577c79bb9702be,2024-11-09T04:05:02.739Z,a854eb67-e22e-4b59-a69d-303bc5c234f6
1293,,,,,19890308.77,8206956.08,11605641.68,2024-11-09T00:00:00.000Z,,4034816,2537f0db2a9b576f568485eb0bf3185975fd68ec,2024-11-09T04:05:02.739Z,3cfdce4b-e95a-414c-86cb-35548bebc083
1294,,,,,10347269.34,4079425.04,5840828.95,2024-11-09T00:00:00.000Z,,4277685,e2ed71c1c190aa4bedfd7d40a91b855025a8f6c1,2024-11-09T04:05:02.739Z,b5868327-d942-4840-895a-1ddd92636e1a
1295,,,,,38703382.74,17818465.28,20285139.28,2024-11-09T00:00:00.000Z,,9436261,b55b6592ebdef65c5aa42a3110fee9adb266c6b3,2024-11-09T04:05:02.739Z,ba3d15fd-89cc-427e-a0a5-529df9c94ab4
1296,,,,,41182922.07,10759369.68,29436671.56,2024-11-09T00:00:00.000Z,,4413443,bf1b768b773aa0e150e6e2d9130bf580e80ac538,2024-11-09T04:05:02.739Z,f6b1d245-6809-4138-bdec-2128f7a335e3
1297,,,,,3374929.57,413506.66,2970485.64,2024-11-09T00:00:00.000Z,,831368,5c81b90731436abad77017b75c9dce27d3e20882,2024-11-09T04:05:02.739Z,1855a57b-1408-48e0-98c1-5752e62deba3
1299,,,,,20544924.45,13046343.17,7178637.83,2024-11-09T00:00:00.000Z,,6074584,dd14fa0aaf26fbb721c5b4a63a6d5e9e880ec500,2024-11-09T04:05:02.739Z,d538b584-e56a-437e-8ff5-6f8b99b6868a
1300,,,,,34309695.49,16704381.41,17070710.07,2024-11-09T00:00:00.000Z,,3599288,ab7bb4218ee1097e970656f4c940476c2c83a5d1,2024-11-09T04:05:02.739Z,9e36c08f-8cf7-4ab9-9891-88499c417a7e
1301,,,,,1968329.67,18254.17,1953360.86,2024-11-09T00:00:00.000Z,,7803,2b01b74d3f469f5e68aae21d1560135920b55dec,2024-11-09T04:05:02.739Z,f660190b-dc5c-4240-8b76-5875ac09f338
1302,,,,,1875868.51,590763.4,1224126.36,2024-11-09T00:00:00.000Z,,107462,4382498d4c6a044f967b9fbb32bb5a16947cb0e7,2024-11-09T04:05:02.739Z,f23d662d-f783-4e70-9342-cecd0b6d0cad
1303,,,,,5462529.93,1195275.68,4267254.25,2024-11-09T00:00:00.000Z,,1061424,8f5f9703498ba9edac227507579246b9b723effd,2024-11-09T04:05:02.739Z,36197283-4416-43a3-a6f1-972faa094c8e
1305,,,,,594693.82,73108.21,521585.61,2024-11-09T00:00:00.000Z,,11345,0a6ab4f9f0161ef2b500f20387ae13f0a6aa6f71,2024-11-09T04:05:02.739Z,44d54ea9-f0fc-43dc-bbda-0456cba1c7bf
1306,,,,,106261560.28,32644798.12,72246572.61,2024-11-09T00:00:00.000Z,,21423043,6ad942f5e22421d0a17a8dc2891cc3c3300b96d5,2024-11-09T04:05:02.739Z,44566432-9cef-44e4-8b28-2a0b47e021d5
1307,,,,,1010652.61,397663.92,612988.69,2024-11-09T00:00:00.000Z,,111961,18f9953581f6d119380bc4651856accf5e3e59c0,2024-11-09T04:05:02.739Z,ef1bf0f5-ec3a-4a6c-833f-84db7c7f6a75
1308,,,,,920741.26,21376.49,880889.25,2024-11-09T00:00:00.000Z,,136145,7accf7a1ce3222e1e0fade943c5f7fba813c6f59,2024-11-09T04:05:02.739Z,9643e86a-47cb-4f07-8809-80b59c3d5e74
1309,,,,,4844695.58,1257343.05,1891051.87,2024-11-09T00:00:00.000Z,,1847365,b2b8b27be42f689870df463c1e524c1ab91c3e64,2024-11-09T04:05:02.739Z,04bd1ee5-4275-4f41-b91f-4dfa27d9f513
1310,,,,,4680340.29,1386231.25,3245139.39,2024-11-09T00:00:00.000Z,,250405,2c65b5075faa3e595056a9b6bbd6c8f21f798070,2024-11-09T04:05:02.739Z,e994a0da-43ef-47e0-b8c0-5404a13525f5
1311,,,,,36909135.59,26066940.79,10849669.36,2024-11-09T00:00:00.000Z,,5289650,87fe4fd9539b43618111c3cfffc8ee7289f3a6d3,2024-11-09T04:05:02.739Z,d5fb5a9d-0097-4e53-b201-ea8fbc9f1f0a
1290,,,,,,,,,,200782,fbe5b8caa213cd388e1d7773b121c3c74559a5fb,2023-03-18T13:22:12.883Z,ffca81a5-0830-4f1c-b088-0ff4d5bb8e8a
1312,,,,,27368107.85,20690288.33,6631775.1,2024-11-09T00:00:00.000Z,,3453353,7213c4ed52e15e962e4374fb93eedfface3377a7,2024-11-09T04:05:02.739Z,41c31736-7a8c-464e-b1cb-7acb70cfd091
1291,,,,,,,,,,381636,8f0f0908874eb215f6e3d73799c8e8d2d29da7b3,2023-03-18T13:22:12.883Z,38aea223-c601-4817-a74e-de666d29392a
1313,,,,,8726361.63,3164581.04,5580429.08,2024-11-09T00:00:00.000Z,,1311471,0d4310fdfef715cde4197aea1fbced631093c16d,2024-11-09T04:05:02.739Z,86440e45-c9dd-4fdf-81d8-8b6486c4f0b6
5502,,,,,,,,,,0,4c97880436e4f4e41f270f6ba1526ddcccfb1997,2024-07-08T15:17:10.208Z,b0881306-1b2d-41a5-8636-fad7e4c28296
5470,,,,,,,,,,0,632c31ecf93420da7e44985de106552e90994371,2023-07-25T23:02:30.960Z,7c3f1b5f-90fc-45ae-b2a0-c10969b52fe1
1314,,,,,2605294.29,1170005.58,1430613.75,2024-11-09T00:00:00.000Z,,405517,a4d0e8a8ec38fdd6d8331d56f9b8aef7676c6754,2024-11-09T04:05:02.739Z,5353b4b0-597d-4f77-91ec-a3ce82f413c1
1315,,,,,2043473.79,1256195.35,847752.31,2024-11-09T00:00:00.000Z,,662973,a028d44771b1b24da0398e2d3a5521e5a245f882,2024-11-09T04:05:02.739Z,05bc0f37-cbb3-46d1-b0ea-efc7ea799727
1316,,,,,10798817.35,6382892.52,4291133.67,2024-11-09T00:00:00.000Z,,1583458,21c211b07d763bff66c97964b28416ddfa31f911,2024-11-09T04:05:02.739Z,e5019d35-b6db-4cea-a40a-9026affbd14f
1298,,,,,,,,,,195648,becd78b29db0e564a86dcc166b1b06bfed63acc0,2023-03-18T13:22:12.883Z,59620891-042b-4587-9129-74bd8a151fd1
1317,,,,,3394920.15,1502165.83,1892754.32,2024-11-09T00:00:00.000Z,,438084,a3c938813ec458b8c19482191cdf141df4ec237b,2024-11-09T04:05:02.739Z,f38ad06c-d61f-4320-95c5-29a61350dfef
1318,,,,,13588960.08,13193223.02,451699.92,2024-11-09T00:00:00.000Z,,1454376,fce7c9d3f611c9d0fb197e3067e294407ff54eb7,2024-11-09T04:05:02.739Z,6a9a658b-bbe0-40d1-8c7a-0223466aaca0
5503,,,,,,,,,,0,0ea0285186b507f1f433b28e09dc08ca5ee1b30d,2024-07-08T15:17:10.208Z,5df6225c-5d31-47c3-827b-d742707c2f94
1319,,,,,5134082.94,329668.71,4780114.36,2024-11-09T00:00:00.000Z,,1289906,0deccc6e868f71a22594fa2eb94dc050eb332afe,2024-11-09T04:05:02.739Z,aedd9aa8-9781-41e3-8eaf-8db24fe14d58
1320,,,,,2820111.53,245508.68,2514961.75,2024-11-09T00:00:00.000Z,,420140,335926e32de201b27f9728f907750871c1a42c77,2024-11-09T04:05:02.739Z,f59c525b-ba75-46e2-ae7d-c5af8b7a7a15
1304,,,,,,,,,,10446,eca700838aea4566bc4c5c046cb6fa2aa4f9c5be,2023-03-18T13:22:12.883Z,d0f1709b-70b0-4742-a8db-087a0cf406cb
1323,,,,,3773011.29,2434987.46,1282012.04,2024-11-09T00:00:00.000Z,,556864,745fcd3f028d528f69143af5af2d9a625a42a937,2024-11-09T04:05:02.739Z,2e0663f3-e2c9-4393-952a-99a64eabff27
4761,,,,,,,,,,0,532cd0bc96d7824544c2ae801fc07c1916ab86bc,2024-02-28T00:02:27.009Z,b57a0a47-0a65-45f0-b1d9-04dd909b31ff
1324,,,,,10907868.92,10902315.84,-40533.34,2024-11-09T00:00:00.000Z,,1613748,e28a5b5f03cdd9fbfb238d0e5d1ed2372be112ef,2024-11-09T04:05:02.739Z,1ea9f1ea-f1cf-42ad-a293-c0c80076e0ae
1325,,,,,1354522.51,1343225.92,,2024-11-09T00:00:00.000Z,,98973,614e08450b74633cb05c4366f71d302598aa418d,2024-11-09T04:05:02.739Z,c454f82a-58d8-4def-84e1-e5f648c13c00
1326,,,,,2191132.01,26462.73,2159308.27,2024-11-09T00:00:00.000Z,,333150,0b96bd54ea8fbb2055e2a0bafd0d56a4e930053b,2024-11-09T04:05:02.739Z,66b51e0f-a80c-40db-a357-c6a5e8897ce8
1327,,,,,619592.3,274870.5,335828.76,2024-11-09T00:00:00.000Z,,343409,15f8792fcd58a48c102db7dd8bac99ff6904d534,2024-11-09T04:05:02.739Z,a2cff680-297d-4488-b3f5-2fcf0d762875
1328,,,,,2551571.28,432319.67,2068700.53,2024-11-09T00:00:00.000Z,,888289,4dd4c437b9826790278b7a1cd21c8fccd1510572,2024-11-09T04:05:02.739Z,0d1f5e5b-3ee5-4bf9-bf42-1dee6ee99da6
1329,,,,,5652343.85,1460174.48,4205941.58,2024-11-09T00:00:00.000Z,,1557307,f2857403acd5611fd82abc0e481df4a4657efb63,2024-11-09T04:05:02.739Z,51965c2f-ca24-4715-a21d-e838a263080a
1330,,,,,1779885.95,156784.46,1615308.59,2024-11-09T00:00:00.000Z,,232618,43592fa350500caff6c2c1e94047e7ead2674e80,2024-11-09T04:05:02.739Z,5f1ed5df-9312-46dc-970c-06c9aaa6fb7f
1331,,,,,3700015.29,1268492.29,2364988.67,2024-11-09T00:00:00.000Z,,449273,b60010b7104bad03790144fa72803ffd035d2be4,2024-11-09T04:05:02.739Z,9de062cd-9a79-4bb3-bb7c-2bbf8f627961
1332,,,,,10905227.4,1145655.2,9726224.29,2024-11-09T00:00:00.000Z,,3154896,d287968e3a8e1bbdc915f4b10de4a060701b16cb,2024-11-09T04:05:02.739Z,e637adff-e9af-4f87-99b0-cb965a6ab737
1333,,,,,11738303.73,3906085.02,7676010.71,2024-11-09T00:00:00.000Z,,4661056,3df1bf53cd1f69fed9daf8b81f00818bfb9faa63,2024-11-09T04:05:02.739Z,e43d7717-da35-4f34-8c35-97c8de28bc63
1334,,,,,39700101.17,3878032.57,35024447.18,2024-11-09T00:00:00.000Z,,9520801,47904b77474c4f497b4b4daa22f64f9f2da2138d,2024-11-09T04:05:02.739Z,2cd7448a-13e5-4618-921e-345d132ae319
1335,,,,,31020492.12,4053927.92,26379603.98,2024-11-09T00:00:00.000Z,,2766765,9239974fc41a16777c5752e38a4c9f3f358c7b18,2024-11-09T04:05:02.739Z,76969b90-f25d-4ed8-8f52-76b8c7a1cecb
1336,,,,,2474138.67,11080.45,2431124.77,2024-11-09T00:00:00.000Z,,304005,824b015ae49a154358a7fbcc7675b1b511dd4fce,2024-11-09T04:05:02.739Z,2cd60ff4-3f56-4e47-a11a-b7883ad78cb1
1337,,,,,4697327.57,2066492.47,2599444.42,2024-11-09T00:00:00.000Z,,782081,d436507de12f238c768a9f01222f99761e48f157,2024-11-09T04:05:02.739Z,6d16d763-0991-4166-87e0-84d372674c92
1321,,,,,,,,,,316618,df6801c6e5b9f881d3a53c2d3a22c4230810b14b,2023-03-18T13:22:12.883Z,0d2fd1ca-29c0-4051-8cfe-f94c5d84e50c
1322,,,,,,,,,,305250,00e53ba279f255d17c73e0672b69cc56f0d98c44,2023-03-18T13:22:12.883Z,eebe0137-979a-4510-a840-219d1a52a00c
1338,,,,,297203.25,294142.3,3060.95,2024-11-09T00:00:00.000Z,,45256,0d2fdcfb6cadea4c47fd11ac0f6ad243cbb9d0fe,2024-11-09T04:05:02.739Z,2cd4b3fe-8fba-4496-8213-2fd12bde356e
1343,,,,,3340810.2,642795.32,2670809.27,2024-11-09T00:00:00.000Z,,346748,68473444343e7d476c1c60174f49f7c0bbdd6cf7,2024-11-09T04:05:02.739Z,a3e8ea02-5593-4884-84f7-94b2795b762d
1344,,,,,18565928.96,527841.99,17408770.89,2024-11-09T00:00:00.000Z,,1922332,bece1717ebb6d55bc5ee8876fe3a900596ecf7f1,2024-11-09T04:05:02.739Z,ed09a4b9-2379-4942-bd0f-f3faee8f2a09
1345,,,,,288481152.48,6632491.52,279844097.69,2024-11-09T00:00:00.000Z,,76656943,2a3bcf0d2399bec1417e299d11d732d715d50f3a,2024-11-09T04:05:02.739Z,25f36995-5153-4cb6-907a-249d8c0a9603
1347,,,,,5616578.93,1514282.42,3706650.48,2024-11-09T00:00:00.000Z,,1343739,481129b6ae521480d0cf4a6ac8aacd2d0958a5db,2024-11-09T04:05:02.739Z,462bc410-de51-429f-8839-365455cb18e4
1348,,,,,4128414.91,564631.82,3220924.98,2024-11-09T00:00:00.000Z,,1154842,50c1c4792557347d9b461295a95cd13c1411f580,2024-11-09T04:05:02.739Z,903fc427-2c19-41b6-b1d9-9b218e4a495e
1349,,,,,2838615.94,94167.46,2564548.23,2024-11-09T00:00:00.000Z,,538400,a4a3f7a3d9437f752dd7d0aaadb32cfd129de5ec,2024-11-09T04:05:02.739Z,9b1c9fba-ed6b-4bc6-83ad-1ca92acfbc49
1350,,,,,2127262.15,22787.43,2097786.27,2024-11-09T00:00:00.000Z,,300092,4a5e43fb853f44d0bf97e7a2cf27933db0a9c58e,2024-11-09T04:05:02.739Z,8024845a-6fc3-4be0-8f7c-99bfd8bd3a59
1351,,,,,682634.87,4604.47,686029.24,2024-11-09T00:00:00.000Z,,98588,bedfa99952768a17743995ef4106b4ea1e7eccbb,2024-11-09T04:05:02.739Z,229eb9fd-379e-4e5c-af56-7c408e15a19a
1352,,,,,1085125.11,1085125.11,,2024-11-09T00:00:00.000Z,,192419,c096689809a9777d14cd8e8aa87a75e32d428a58,2024-11-09T04:05:02.739Z,f5b52daf-6c0d-4669-86da-968cb3cd9980
1353,,,,,817522.69,49651.86,765362.51,2024-11-09T00:00:00.000Z,,104509,992965a86a83ef0ec64c8afa0eb068f7a9f78342,2024-11-09T04:05:02.739Z,29beee4f-70ea-4e38-8361-437dda351df1
1354,,,,,185489007.3,152443939.55,33092101.88,2024-11-09T00:00:00.000Z,,28495935,a854583978139543481cb4331aefa946c619d756,2024-11-09T04:05:02.739Z,c623b567-b681-40da-a9bb-e93332afd804
1355,,,,,160002351.14,59324006.19,99573522.52,2024-11-09T00:00:00.000Z,,23968328,af07d4a4168c8f4c67212a1c405b3e15bfbc0b26,2024-11-09T04:05:02.739Z,b2db80e8-4827-4536-9ff5-fe37c89aacfc
1356,,,,,39711803.79,24308976.34,15313037.01,2024-11-09T00:00:00.000Z,,4438038,e20f0270001b9deece8c8d1f55416cec8a885014,2024-11-09T04:05:02.739Z,e80717b3-5401-47d5-a529-106675d0282c
1357,,,,,4294159.44,2918003.52,1386461.64,2024-11-09T00:00:00.000Z,,351225,ffde0bae04c23879ac49c5c80a70e8da8e9f161a,2024-11-09T04:05:02.739Z,ac164780-9b54-4cc0-b458-d6d2c7f6a91e
1358,,,,,727798.23,9329.08,703570.79,2024-11-09T00:00:00.000Z,,103931,961bf73a8bbc48c5b2b73a2d319ddec79f6d63ec,2024-11-09T04:05:02.739Z,5e3d11d9-51ec-4b80-914b-09a40a1182de
1339,,,,,,,,,,896815,2fddd87cac23642be8ba270d84e2bb13c90b58dc,2023-03-18T13:22:12.883Z,9e76bea2-e716-4941-847b-f9bc5f271dbb
1340,,,,,,,,,,311009,298b989ad5d263b01b7d7a983c17a1e3304968f4,2023-03-18T13:22:12.883Z,f125dfb7-2a30-495e-949a-98e7613c4cdd
1341,,,,,,,,,,13056,57f82ef8c8a353f683c9cb30970e35127cb83b8a,2023-03-18T13:22:12.883Z,5169019b-820f-49ff-bd8e-b39f1a40a7d2
1342,,,,,,,,,,1000930,9ad21c6b71c474d559e410575a974b2882e1c26d,2023-03-18T13:22:12.883Z,15c8b080-f629-446d-9924-ba75f45ab04d
1360,,,,,18209539.53,9579191.49,8903962.17,2024-11-09T00:00:00.000Z,,2730274,1818ee9726ad6c55fdd7e328ba060e2eed681aa7,2024-11-09T04:05:02.739Z,87c54e7c-7d22-49d0-9939-9ee76f165b2b
1361,,,,,66734226.22,7138998.7,54761534.37,2024-11-09T00:00:00.000Z,,18838111,3ab989da32fc4c91a0bd64e3f4d19dd701e1942e,2024-11-09T04:05:02.739Z,1e4862fe-fc87-42f1-a8e1-6d509bc9c5c0
1362,,,,,4786803.73,4111602.56,675201.17,2024-11-09T00:00:00.000Z,,106606,3eb9758769622dcc1cee39f13db254b5d28e67ce,2024-11-09T04:05:02.739Z,e813fdcc-c43f-4dc2-9622-4f5f9f990951
1363,,,,,3019659.14,103814.9,2934328.57,2024-11-09T00:00:00.000Z,,431125,0d022ae2920c09747ce150717a00ee968a3dd8f2,2024-11-09T04:05:02.739Z,77292ea4-89f0-4aea-8998-384c9ecc1d5a
1365,,,,,2855252.63,22820.59,2871984.6,2024-11-09T00:00:00.000Z,,417677,3c7951da60e51dbee8c9f8a831bb5eef47a8474d,2024-11-09T04:05:02.739Z,94727af9-3fcb-4b62-b0ea-d6d8937ded26
5467,,,,,,,,,,0,5ba5da0cfe4cd03942004c04f294bf7492e94587,2023-07-06T23:02:58.335Z,36af7f94-d842-4c4c-bac5-7ab68c57b21b
1346,,,,,,,,,,25581719,de80b569ba429dbe71a53c81c5a075ad13e80223,2023-03-18T13:22:12.883Z,4e321bd0-347b-48ba-970e-9e598d5f9945
5468,,,,,,,,,,0,71c10390f28cbe1cf2bf8fde8c26c5b9c0bb246e,2023-07-06T23:02:58.335Z,076fb178-011d-4c46-997f-6139f3dc96db
1366,,,,,2697313.17,912342.82,1767548.6,2024-11-09T00:00:00.000Z,,442317,c298fcb748e67cd6815f0f236fca6fbad78124bb,2024-11-09T04:05:02.739Z,a275b8aa-7480-46a3-bbf5-1ec2f21e5269
1367,,,,,8618000.36,3601067.84,4689231.55,2024-11-09T00:00:00.000Z,,1876460,c8ede0c80a6def22cd750cbc6feb228fb9d44b1f,2024-11-09T04:05:02.739Z,59064200-65e6-44e1-b28a-901d9ff996df
1368,,,,,5964308.99,2663455.38,3341706.39,2024-11-09T00:00:00.000Z,,521140,93cc9747cc6e02cd2a4108cf5c512eb986124916,2024-11-09T04:05:02.739Z,795ac550-f1ca-4914-97c4-6d9c829b8af5
1369,,,,,19743137.17,11692409.39,8072012.75,2024-11-09T00:00:00.000Z,,3344251,bebb95d2827be063ec93c1dd6686651ae8e023aa,2024-11-09T04:05:02.739Z,c3a59242-4dac-4f89-99da-629777f90d1f
1370,,,,,36227572.27,8928827.59,27261029.27,2024-11-09T00:00:00.000Z,,5117141,e6f0a39cd4f185f5729498676b96506b8567073e,2024-11-09T04:05:02.739Z,809d07fd-3696-4f7e-bdaa-d0a21af2751e
1371,,,,,1160382.95,164540.76,988792.94,2024-11-09T00:00:00.000Z,,208923,7560b3bbeeeaeef45e75dbe7a472fd12aeff1bd4,2024-11-09T04:05:02.739Z,7f0e9734-6d50-4d67-ab14-985780528032
1372,,,,,5147725.26,1542430.72,3033129.15,2024-11-09T00:00:00.000Z,,310644,89c5dadbf1a0678615810391dfffde8e1a1ef675,2024-11-09T04:05:02.739Z,e2c39204-61f8-4b48-bef2-350f3c4ac8f3
1373,,,,,2982075.51,45727.81,2934671.07,2024-11-09T00:00:00.000Z,,415221,080dfcac96a81ca4dc348159c582743b982fd784,2024-11-09T04:05:02.739Z,bf604ea6-d4f6-46a4-abdb-fd81a4269017
1374,,,,,4621871.5,30085.44,4645199.75,2024-11-09T00:00:00.000Z,,492411,6fd2a5369618b892b48ac7ebc9d4727090a93d97,2024-11-09T04:05:02.739Z,57b5ae34-2d78-4a91-92ed-c85398751e04
1375,,,,,5097818.74,480755.51,4573840.99,2024-11-09T00:00:00.000Z,,710833,53f9fcea59b6ab6f3d37e53e039f642adf5d59ac,2024-11-09T04:05:02.739Z,77efd51d-0df5-4345-8be5-4376629f209e
